dataset,feature_num,class_num,seq_len,model_name,train_loss,valid_loss,accuracy
FaceDetection,144,2,62,MultiRocket,0.05731317028403282,2.656930923461914,0.604710578918457
Heartbeat,61,2,405,MultiRocket,1.0699609518051147,0.9384094476699829,0.6878048777580261
FingerMovements,28,2,50,MultiRocket,0.5375584363937378,1.8983089923858643,0.5199999809265137
NATOPS,24,6,51,MultiRocket,0.4937637746334076,0.4349866211414337,0.8500000238418579
HandMovementDirection,10,4,400,MultiRocket,0.5985485911369324,2.1253302097320557,0.37837839126586914
ArticularyWordRecognition,9,25,144,MultiRocket,0.2288329154253006,0.3889336884021759,0.9366666674613953
SelfRegulationSCP2,7,2,1152,MultiRocket,0.9897431135177612,1.16167414188385,0.5388888716697693
BasicMotions,6,4,100,MultiRocket,0.37642356753349304,0.06427772343158722,1.0
Cricket,6,12,1197,MultiRocket,0.3922558128833771,0.16363006830215454,0.9305555820465088
LSST,6,14,36,MultiRocket,0.5761109590530396,4.776713848114014,0.6394971609115601
RacketSports,6,4,30,MultiRocket,0.30382972955703735,1.2192820310592651,0.7236841917037964
SelfRegulationSCP1,6,2,896,MultiRocket,0.4107503890991211,0.6900984644889832,0.8805460929870605
ERing,4,6,65,MultiRocket,,,0.1666666716337204
StandWalkJump,4,3,2500,MultiRocket,0.34508827328681946,1.90777587890625,0.6666666865348816
Epilepsy,3,4,206,MultiRocket,0.2025589942932129,0.24556207656860352,0.9492753744125366
EthanolConcentration,3,4,1751,MultiRocket,1.4529513120651245,1.6592172384262085,0.5019011497497559
Handwriting,3,26,152,MultiRocket,2.498889684677124,5.801978588104248,0.2729411721229553
UWaveGestureLibrary,3,8,315,MultiRocket,0.5018185973167419,0.3774626553058624,0.90625
AtrialFibrillation,2,3,640,MultiRocket,0.4619356393814087,9.459716796875,0.3333333432674408
Libras,2,15,45,MultiRocket,0.6853854656219482,1.1834418773651123,0.8611111044883728
PenDigits,2,10,8,MultiRocket,,,0.1037735864520073
